,id,x,y,z,i,j,k,degree,to_remove
13627,173.0,375.0,433.0127018922193,122.47448713915891,75.0,86.60254037844386,4.08248290463863,6.0,False
13658,174.0,137.5,454.66333698683025,122.47448713915891,27.5,90.93266739736605,4.08248290463863,2.0,False
13659,175.0,162.5,454.66333698683025,122.47448713915891,32.5,90.93266739736605,4.08248290463863,2.0,False
13660,176.0,187.5,454.66333698683025,122.47448713915891,37.5,90.93266739736605,4.08248290463863,5.0,False
13661,177.0,212.5,454.66333698683025,122.47448713915891,42.5,90.93266739736605,4.08248290463863,10.0,False
13662,178.0,237.5,454.66333698683025,122.47448713915891,47.5,90.93266739736605,4.08248290463863,5.0,False
13663,179.0,262.5,454.66333698683025,122.47448713915891,52.5,90.93266739736605,4.08248290463863,4.0,False
13664,180.0,287.5,454.66333698683025,122.47448713915891,57.5,90.93266739736605,4.08248290463863,3.0,False
13699,181.0,125.0,476.31397208144125,122.47448713915891,25.0,95.26279441628824,4.08248290463863,7.0,False
13700,182.0,150.0,476.31397208144125,122.47448713915891,30.0,95.26279441628824,4.08248290463863,9.0,False
13701,183.0,175.0,476.31397208144125,122.47448713915891,35.0,95.26279441628824,4.08248290463863,10.0,False
13702,184.0,200.0,476.31397208144125,122.47448713915891,40.0,95.26279441628824,4.08248290463863,12.0,False
13703,185.0,225.0,476.31397208144125,122.47448713915891,45.0,95.26279441628824,4.08248290463863,8.0,False
13739,186.0,112.5,497.9646071760522,122.47448713915891,22.5,99.59292143521044,4.08248290463863,2.0,False
13740,187.0,137.5,497.9646071760522,122.47448713915891,27.5,99.59292143521044,4.08248290463863,8.0,False
13741,188.0,162.5,497.9646071760522,122.47448713915891,32.5,99.59292143521044,4.08248290463863,9.0,False
13742,189.0,187.5,497.9646071760522,122.47448713915891,37.5,99.59292143521044,4.08248290463863,7.0,False
13743,190.0,212.5,497.9646071760522,122.47448713915891,42.5,99.59292143521044,4.08248290463863,5.0,False
13782,191.0,150.0,519.6152422706632,122.47448713915891,30.0,103.92304845413264,4.08248290463863,3.0,False
14936,192.0,312.5,7.216878364870322,142.88690166235205,62.5,1.4433756729740643,4.762896722078401,2.0,False
14975,193.0,275.0,28.867513459481287,142.88690166235205,55.0,5.773502691896257,4.762896722078401,7.0,False
14976,194.0,300.0,28.867513459481287,142.88690166235205,60.0,5.773502691896257,4.762896722078401,10.0,False
14977,195.0,325.0,28.867513459481287,142.88690166235205,65.0,5.773502691896257,4.762896722078401,9.0,False
15016,196.0,262.5,50.51814855409225,142.88690166235205,52.5,10.10362971081845,4.762896722078401,5.0,False
15017,197.0,287.5,50.51814855409225,142.88690166235205,57.5,10.10362971081845,4.762896722078401,12.0,False
15018,198.0,312.5,50.51814855409225,142.88690166235205,62.5,10.10362971081845,4.762896722078401,11.0,False
15019,199.0,337.5,50.51814855409225,142.88690166235205,67.5,10.10362971081845,4.762896722078401,2.0,False
15057,200.0,275.0,72.16878364870323,142.88690166235205,55.0,14.433756729740645,4.762896722078401,9.0,False
15058,201.0,300.0,72.16878364870323,142.88690166235205,60.0,14.433756729740645,4.762896722078401,7.0,False
15099,202.0,287.5,93.81941874331419,142.88690166235205,57.5,18.76388374866284,4.762896722078401,3.0,False
15142,203.0,350.0,115.47005383792515,142.88690166235205,70.0,23.09401076758503,4.762896722078401,2.0,False
15183,204.0,337.5,137.12068893253613,142.88690166235205,67.5,27.424137786507224,4.762896722078401,2.0,False
15184,205.0,362.5,137.12068893253613,142.88690166235205,72.5,27.424137786507224,4.762896722078401,2.0,False
15223,206.0,325.0,158.77132402714707,142.88690166235205,65.0,31.754264805429415,4.762896722078401,4.0,False
15224,207.0,350.0,158.77132402714707,142.88690166235205,70.0,31.754264805429415,4.762896722078401,2.0,False
15264,208.0,312.5,180.42195912175805,142.88690166235205,62.5,36.08439182435161,4.762896722078401,2.0,False
15265,209.0,337.5,180.42195912175805,142.88690166235205,67.5,36.08439182435161,4.762896722078401,7.0,False
15266,210.0,362.5,180.42195912175805,142.88690166235205,72.5,36.08439182435161,4.762896722078401,3.0,False
15304,211.0,300.0,202.072594216369,142.88690166235205,60.0,40.4145188432738,4.762896722078401,8.0,False
15305,212.0,325.0,202.072594216369,142.88690166235205,65.0,40.4145188432738,4.762896722078401,9.0,False
15306,213.0,350.0,202.072594216369,142.88690166235205,70.0,40.4145188432738,4.762896722078401,7.0,False
15345,214.0,287.5,223.72322931097997,142.88690166235205,57.5,44.744645862195995,4.762896722078401,8.0,False
15346,215.0,312.5,223.72322931097997,142.88690166235205,62.5,44.744645862195995,4.762896722078401,12.0,False
15347,216.0,337.5,223.72322931097997,142.88690166235205,67.5,44.744645862195995,4.762896722078401,12.0,False
15348,217.0,362.5,223.72322931097997,142.88690166235205,72.5,44.744645862195995,4.762896722078401,7.0,False
15385,218.0,275.0,245.37386440559095,142.88690166235205,55.0,49.07477288111819,4.762896722078401,2.0,False
15386,219.0,300.0,245.37386440559095,142.88690166235205,60.0,49.07477288111819,4.762896722078401,10.0,False
15387,220.0,325.0,245.37386440559095,142.88690166235205,65.0,49.07477288111819,4.762896722078401,12.0,False
15388,221.0,350.0,245.37386440559095,142.88690166235205,70.0,49.07477288111819,4.762896722078401,12.0,False
15389,222.0,375.0,245.37386440559095,142.88690166235205,75.0,49.07477288111819,4.762896722078401,4.0,False
15426,223.0,262.5,267.0244995002019,142.88690166235205,52.5,53.40489990004038,4.762896722078401,5.0,False
15427,224.0,287.5,267.0244995002019,142.88690166235205,57.5,53.40489990004038,4.762896722078401,9.0,False
15428,225.0,312.5,267.0244995002019,142.88690166235205,62.5,53.40489990004038,4.762896722078401,12.0,False
15429,226.0,337.5,267.0244995002019,142.88690166235205,67.5,53.40489990004038,4.762896722078401,12.0,False
15430,227.0,362.5,267.0244995002019,142.88690166235205,72.5,53.40489990004038,4.762896722078401,12.0,False
15431,228.0,387.5,267.0244995002019,142.88690166235205,77.5,53.40489990004038,4.762896722078401,6.0,False
15466,229.0,250.0,288.67513459481285,142.88690166235205,50.0,57.73502691896257,4.762896722078401,3.0,False
15467,230.0,275.0,288.67513459481285,142.88690166235205,55.0,57.73502691896257,4.762896722078401,7.0,False
15468,231.0,300.0,288.67513459481285,142.88690166235205,60.0,57.73502691896257,4.762896722078401,9.0,False
15469,232.0,325.0,288.67513459481285,142.88690166235205,65.0,57.73502691896257,4.762896722078401,7.0,False
15470,233.0,350.0,288.67513459481285,142.88690166235205,70.0,57.73502691896257,4.762896722078401,11.0,False
15471,234.0,375.0,288.67513459481285,142.88690166235205,75.0,57.73502691896257,4.762896722078401,12.0,False
15472,235.0,400.0,288.67513459481285,142.88690166235205,80.0,57.73502691896257,4.762896722078401,2.0,False
15504,236.0,162.5,310.3257696894238,142.88690166235205,32.5,62.06515393788476,4.762896722078401,2.0,False
15505,237.0,187.5,310.3257696894238,142.88690166235205,37.5,62.06515393788476,4.762896722078401,2.0,False
15507,238.0,237.5,310.3257696894238,142.88690166235205,47.5,62.06515393788476,4.762896722078401,3.0,False
15508,239.0,262.5,310.3257696894238,142.88690166235205,52.5,62.06515393788476,4.762896722078401,5.0,False
15509,240.0,287.5,310.3257696894238,142.88690166235205,57.5,62.06515393788476,4.762896722078401,5.0,False
15511,241.0,337.5,310.3257696894238,142.88690166235205,67.5,62.06515393788476,4.762896722078401,3.0,False
15512,242.0,362.5,310.3257696894238,142.88690166235205,72.5,62.06515393788476,4.762896722078401,8.0,False
15513,243.0,387.5,310.3257696894238,142.88690166235205,77.5,62.06515393788476,4.762896722078401,3.0,False
15544,244.0,150.0,331.9764047840348,142.88690166235205,30.0,66.39528095680696,4.762896722078401,2.0,False
15545,245.0,175.0,331.9764047840348,142.88690166235205,35.0,66.39528095680696,4.762896722078401,2.0,False
15547,246.0,225.0,331.9764047840348,142.88690166235205,45.0,66.39528095680696,4.762896722078401,10.0,False
15548,247.0,250.0,331.9764047840348,142.88690166235205,50.0,66.39528095680696,4.762896722078401,11.0,False
15549,248.0,275.0,331.9764047840348,142.88690166235205,55.0,66.39528095680696,4.762896722078401,3.0,False
15586,249.0,162.5,353.62703987864575,142.88690166235205,32.5,70.72540797572915,4.762896722078401,3.0,False
15587,250.0,187.5,353.62703987864575,142.88690166235205,37.5,70.72540797572915,4.762896722078401,2.0,False
15588,251.0,212.5,353.62703987864575,142.88690166235205,42.5,70.72540797572915,4.762896722078401,11.0,False
15589,252.0,237.5,353.62703987864575,142.88690166235205,47.5,70.72540797572915,4.762896722078401,12.0,False
15590,253.0,262.5,353.62703987864575,142.88690166235205,52.5,70.72540797572915,4.762896722078401,12.0,False
15591,254.0,287.5,353.62703987864575,142.88690166235205,57.5,70.72540797572915,4.762896722078401,6.0,False
15593,255.0,337.5,353.62703987864575,142.88690166235205,67.5,70.72540797572915,4.762896722078401,2.0,False
15628,256.0,200.0,375.2776749732567,142.88690166235205,40.0,75.05553499465134,4.762896722078401,3.0,False
15629,257.0,225.0,375.2776749732567,142.88690166235205,45.0,75.05553499465134,4.762896722078401,11.0,False
15630,258.0,250.0,375.2776749732567,142.88690166235205,50.0,75.05553499465134,4.762896722078401,12.0,False
15631,259.0,275.0,375.2776749732567,142.88690166235205,55.0,75.05553499465134,4.762896722078401,12.0,False
15632,260.0,300.0,375.2776749732567,142.88690166235205,60.0,75.05553499465134,4.762896722078401,10.0,False
15633,261.0,325.0,375.2776749732567,142.88690166235205,65.0,75.05553499465134,4.762896722078401,9.0,False
